i: 494, j:494, value: 1080.000000
i: 1, j:1, value: 2220.874023
i: 16, j:1, value: -9.960159
i: 46, j:1, value: -8.196721
i: 267, j:1, value: -4.051864
i: 2, j:2, value: 5.410670
i: 4, j:2, value: -5.410670
i: 3, j:3, value: 13.570860
i: 52, j:3, value: -5.665723
i: 186, j:3, value: -7.905138
i: 4, j:4, value: 618.396790
i: 8, j:4, value: -91.996323
i: 120, j:4, value: -100.000000
i: 158, j:4, value: -294.117615
i: 429, j:4, value: -53.504551
i: 432, j:4, value: -73.367569
i: 5, j:5, value: 8.000000
i: 115, j:5, value: -8.000000
i: 6, j:6, value: 5.251112
i: 150, j:6, value: -1.526718
i: 433, j:6, value: -3.724395
i: 7, j:7, value: 12.509810
i: 18, j:7, value: -0.500000
i: 165, j:7, value: -2.619172
i: 367, j:7, value: -3.603604
i: 426, j:7, value: -5.787037
i: 8, j:8, value: 91.996323
i: 9, j:9, value: 10.214500
i: 422, j:9, value: -10.214500
i: 10, j:10, value: 277.376587
i: 205, j:10, value: -127.226501
i: 277, j:10, value: -150.150101
i: 11, j:11, value: 79.800339
i: 412, j:11, value: -50.301811
i: 436, j:11, value: -29.498529
i: 12, j:12, value: 13.015570
i: 13, j:12, value: -1.333333
i: 14, j:12, value: -2.158429
i: 16, j:12, value: -9.523809
i: 13, j:13, value: 1.333333
i: 14, j:14, value: 2.158429
i: 15, j:15, value: 7.012623
i: 16, j:15, value: -7.012623
i: 16, j:16, value: 60.125759
i: 17, j:16, value: -21.786489
i: 19, j:16, value: -7.037297
i: 57, j:16, value: -4.805382
i: 17, j:17, value: 100.122398
i: 20, j:17, value: -17.605631
i: 21, j:17, value: -17.605631
i: 281, j:17, value: -14.306150
i: 334, j:17, value: -28.818451
i: 18, j:18, value: 0.500000
i: 19, j:19, value: 7.037297
i: 20, j:20, value: 17.605631
i: 21, j:21, value: 17.605631
i: 22, j:22, value: 105.806602
i: 23, j:22, value: -37.313431
i: 140, j:22, value: -68.493149
i: 23, j:23, value: 238.159607
i: 140, j:23, value: -81.967216
i: 155, j:23, value: -108.695602
i: 197, j:23, value: -10.183300
i: 24, j:24, value: 7.806402
i: 25, j:24, value: -7.806402
i: 25, j:25, value: 25.047991
i: 157, j:25, value: -4.741584
i: 170, j:25, value: -12.500000
i: 26, j:26, value: 72.584358
i: 99, j:26, value: -42.372879
i: 425, j:26, value: -30.211479
i: 27, j:27, value: 423.728790
i: 28, j:27, value: -423.728790
i: 28, j:28, value: 1022.734009
i: 85, j:28, value: -3.767472
i: 173, j:28, value: -595.238098
i: 29, j:29, value: 7.613696
i: 307, j:29, value: -4.387889
i: 316, j:29, value: -3.225806
i: 30, j:30, value: 5.428882
i: 31, j:30, value: -5.428882
i: 31, j:31, value: 28.912680
i: 182, j:31, value: -17.094021
i: 186, j:31, value: -6.389777
i: 32, j:32, value: 16.376570
i: 376, j:32, value: -5.000000
i: 444, j:32, value: -11.376560
i: 33, j:33, value: 106.164703
i: 34, j:33, value: -62.111801
i: 239, j:33, value: -44.052860
i: 34, j:34, value: 62.111801
i: 35, j:35, value: 13.605440
i: 222, j:35, value: -13.605440
i: 36, j:36, value: 1122.904053
i: 325, j:36, value: -1111.110962
i: 419, j:36, value: -11.792450
i: 37, j:37, value: 208.561600
i: 147, j:37, value: -8.561644
i: 262, j:37, value: -200.000000
i: 38, j:38, value: 19.286961
i: 39, j:38, value: -11.049720
i: 398, j:38, value: -8.237232
i: 39, j:39, value: 50.429810
i: 40, j:39, value: -22.573360
i: 281, j:39, value: -16.806721
i: 40, j:40, value: 107.319099
i: 417, j:40, value: -84.745758
i: 41, j:41, value: 1125.307983
i: 47, j:41, value: -11.655010
i: 328, j:41, value: -1111.110962
i: 413, j:41, value: -2.541942
i: 42, j:42, value: 40.630241
i: 172, j:42, value: -34.843201
i: 328, j:42, value: -5.787037
i: 43, j:43, value: 32.258060
i: 175, j:43, value: -32.258060
i: 44, j:44, value: 50.451939
i: 102, j:44, value: -11.990410
i: 286, j:44, value: -38.461540
i: 45, j:45, value: 21.890110
i: 174, j:45, value: -6.293266
i: 203, j:45, value: -4.997501
i: 264, j:45, value: -5.336179
i: 285, j:45, value: -5.263158
i: 46, j:46, value: 14.953480
i: 253, j:46, value: -6.756757
i: 47, j:47, value: 29.279530
i: 153, j:47, value: -3.419973
